Instead of,Try
"absence, absence of","no, none, not here, not present, without"
accessible,"open, ready, within reach, can be used by"
accommodate,"meet, agree to"
accompany,"go with, show up with, go along with"
accomplish,"carry out, do"
accordance (with),"agree with, follows"
accordingly,so
accurate,"correct, exact, right"
achieve,"do, make"
acknowledge,"thank you for, accepted, recognized, approved"
acquire,"get, buy"
activate,"begin, start, turn on, act"
active role,taking part in
activity,something you do (often)
actual,real
acute,"sudden, happen without warning, sickness that lasts a short time and goes away"
additional,"more, added, extra, other"
address,"discuss, talk about"
adhere and adherence:,sticks to
administer,"run, handle, direct, manage, to give out"
advanced (stages),"late stages, far along"
advantageous,"helpful, better, useful"
adverse,bad
adverse event,injury or hurt
adversely affect/impact,"hurt, set back, make worse"
advise,"recommend, tell"
affix,"stick, join, attach, add, fasten"
afford an opportunity,"allow, let"
affordable,"low cost, at a good price, at a price you can pay"
aggregate,total
ailment,"sickness, illness, problem with your health"
alleviate your symptoms,help you feel better
allergen,something that causes an allergy
allocate,"divide, give, share"
alternative,"choice, option, other"
ameliorate,"improve, make better"
amend,change
analgesic,pain killer
anticipate,expect
apparent,"clear, plain, easy to see"
apparently,"it seems, we think, it looks like"
appreciable,"many, much, large"
appropriate,"right, correct, useful"
approximately,about
are requested to,please
are required to,must
as a consequence of,because
as a means of,to
ascertain,"decide, find out, learn, tell, confirm"
"assist, assistance","aid, help"
associated with,"goes along with, is part of, linked to, related to, happens with"
attain,"meet a goal, get, reach, receive"
attempt,try
at the present time,"at present, now"
authorization,"permission, your written permission, your written approval"
authorize,"let, allow, approve, permit"
authorizing disclosures,allowing us to share information
avoid,"stay away from, do not use"
be advised,know
before any costs are incurred,before we do anything that will cost you
be in the position to,can
beneficial,helpful
benign,is not cancer
burdensome,"difficult, hard, tough"
"capable of, capability","able to, ability, can"
caveat,warning
cease,"end, stop"
chronic,"happens again and again, does not end, goes on for a long time"
clinical,indicators signs or symptoms of your health problem
collaborate,"work together, work with"
collect and maintain,get and keep
communicate,"tell, let you know"
compensate,pay
competent,"able to make choices, decisions"
complications (flu-caused),health problems caused by (the flu)
comply with,"follow, obey"
comprehensive,"total, all, the whole, complete, full, major, large"
comprise,"make, form, include, made up of, gives, is"
concept,idea
concerning,"about, on"
condition,"health problem, how you feel"
consent,"accept, permit, let"
consequently,so
consider,think about
constitutes,"is, forms, makes up, gives"
consult,"ask, check with, refer to, look at, talk to, meet"
contact,"touch, get close to, be near, in the same area as, get in touch with"
contagious disease,sickness that you can get from or give to another person
contains,has
contaminated,"dirty, unsafe, not clean"
contributes to,also causes
currently,now
deceased,"dead, someone who died"
deductible,the amount you pay before your insurance starts to pay
demographics,"personal statistics, personal information"
designate,"choose, name, select, pick"
desire,"want, wish"
detailed,"complete, with all the facts, covers everything"
detect,find
determine,"decide, figure, find out"
detrimental,"bad, harmful"
develop,"make, write, form, create, learn"
diagnosis,"cause of your illness, what your illness is called"
diet,"what you eat, your meals"
difficulties,problems
disclose,"show, share, give, tell"
discontinue,"drop, stop, end, quit, cancel"
disturbance,"problem, change, something unusual"
documents,"records, papers, proof"
"dosage, dose","amount, how much medicine to take"
due to the fact that,"since, because"
dysfunction,problem
economical,low cost
educate,"teach, tell, show"
"effect, effectiveness","make, result, success, consequence, how something works"
effective date,"takes effect on, starts on"
eg,for example
elect,"choose, pick"
eliminate,"cut, drop, end, quit, stop"
employ,use
enable,"allow, make possible"
enclosed,"inside, with this ____, included"
enlarge,"get bigger, make bigger"
ensure,make sure
equitable,fair
equivalent,"equal, the same"
establish,"set up, prove, show, start"
evaluate,"test, check, rate, decide, think about, work out, study"
evidence-based,"shown to work, proven to work, tested"
evident,"clear, plain, easy to see"
exacerbate,make worse
examination,"exam, test"
examine,"look at, check, test"
exceeds,"out does, passes, tops, goes beyond, is above"
excessive,too many
exclusions,"services not covered by the plan, services your insurance does not pay for"
exclusively,only
explain,"tell, show"
extensive,"complete, full, goes on for a long time, large, long, major"
facilitate,"ease, make easier, help, move along, guide"
facilities,"clinics, offices, buildings"
factor,other thing
failed to,did not
feasible,"can be done, workable, will work, possible, can do, doable"
febrile,feverish
finalize,"complete, finish, end"
for further instructions,to find out what to do next
formulary drugs,a list of the prescriptions covered by your insurance company
forward,"send, give"
frequently,often
function,"act, role, work, do, serve"
fundamental,basic
grant,give
grievance,"complaint, problem, you do not agree"
guidelines,"rules, steps to follow, directions, recommendations"
hazardous,"not safe, dangerous, harmful, bad, risky"
identical,same
identifiable information,personal information that can identify you
identify,"find, name, show"
that is,that is
immediately,"at once, now, right now, right away, very soon"
impact,"affect, change, result"
implement,"start, put in place, get started, do, follow, carry out, set up"
in accordance with,"by, following, under"
in addition,"also, besides, too"
incapable,"unable, unfit, helpless, cannot do"
inception,"start, beginning"
incomplete,lacking
incorporate,"join, put together, combine, bring into"
incorrect,wrong
increasingly,"more often, more and more"
indicate,"show, tell, say, list, write down, mark, check off"
inform,tell
